city,lat,lng,capital,population,admin
Lạc Dương,12.004052,108.419051,minor,,Lâm Đồng
Chí Thạnh,13.308446,109.215217,minor,,Phú Yên
Đống Đa,21.020087,105.830967,minor,,Hà Nội
Ba Đình,21.034072,105.814525,minor,,Hà Nội
Tân Trụ,10.512708,106.507623,minor,,Long An
Bến Tre,10.241466,106.375852,admin,,Bến Tre
Thốt Nốt,10.272133,105.533802,minor,,Cần Thơ
Cầu Kè,9.872403,106.054974,minor,,Trà Vinh
Cầu Giát,19.146003,105.630889,minor,,Nghệ An
Nàng Mau,9.751292,105.534475,minor,,Hậu Giang
Tân Việt,22.864075,105.459045,minor,,Cao Bằng
Pác Miầu,22.829681,105.49334,minor,,Cao Bằng
Phú Thọ,21.399629,105.222208,minor,,Phú Thọ
Mường Chiên,21.842399,103.566077,minor,,Sơn La
Chợ Chu,21.907235,105.642194,minor,,Thái Nguyên
Hậu Lộc,19.914441,105.886149,minor,,Thanh Hóa
Yên Thành,18.998557,105.471158,minor,,Nghệ An
Cam Lâm,12.053979,109.160038,minor,,Khánh Hòa
Gia Lộc,20.867828,106.300001,minor,,Hải Dương
Phú Lộc,9.428382,105.741112,minor,,Sóc Trăng
Lộc Ninh,11.844756,106.590729,minor,,Bình Phước
Gio Linh,16.924802,107.084385,minor,,Quảng Trị
Điện Biên Đông,21.296732,103.220093,minor,,Điện Biên
Tam Điệp,20.156348,105.917367,minor,,Ninh Bình
Đức Phổ,14.813554,108.959312,minor,,Quảng Ngãi
Đức Phong,11.813462,107.24433,minor,,Bình Phước
Mộ Đức,14.95513,108.885863,minor,,Quảng Ngãi
Nam Giang,20.333221,106.17754,minor,,Nam Định
Đô Lương,18.898524,105.30797,minor,,Nghệ An
Vũ Thư,20.43671,106.29116,minor,,Thái Bình
Thị Trấn Yên Thế,22.11075,104.767475,minor,,Yên Bái
Ea Drăng,13.204497,108.21029,minor,,Đắk Lắk
Bình Minh,10.068206,105.822212,minor,,Vĩnh Long
An Phú,10.815913,105.090382,minor,,An Giang
An Lão,14.612405,108.889897,minor,,Bình Định
Đồng Lê,17.883889,106.025362,minor,,Quảng Bình
Lũng Hồ,22.984788,105.239832,minor,,Hà Giang
Thị Trấn Yên Minh,23.117924,105.141593,minor,,Hà Giang
Thị Trấn Đất Đỏ,10.490934,107.270145,minor,,Bà Rịa-Vũng Tàu
Ea T’ling,12.589036,107.895784,minor,,Đắk Nông
Bút Sơn,19.857967,105.854818,minor,,Thanh Hóa
Bích Động,21.274211,106.100689,minor,,Bắc Giang
Phù Cát,14.003158,109.058039,minor,,Bình Định
Phùng,21.089025,105.659013,minor,,Hà Nội
