city,lat,lng,capital,population,admin
Thị Trấn Khánh Yên,22.089354,104.251485,minor,,Lào Cai
Long Phú,9.610249,106.11881,minor,,Sóc Trăng
Lương Sơn,20.871477,105.525676,minor,,Hòa Bình
Cao Thượng,21.387069,106.129314,minor,,Bắc Giang
Cái Dầu,10.574275,105.240052,minor,,An Giang
Mường Chà,21.761718,103.097826,minor,,Điện Biên
Thị Trấn Phố Ràng,22.234293,104.476425,minor,,Lào Cai
Đông Anh,21.139616,105.849263,minor,,Hà Nội
Kon Tum,14.354515,108.007592,admin,,Kon Tum
Đà Bắc,20.877145,105.254168,minor,,Hòa Bình
Thanh Miện,20.787139,106.246233,minor,,Hải Dương
Phú Xuyên,20.745486,105.913627,minor,,Hà Nội
Núi Đèo,20.915695,106.674396,minor,,Hải Phòng
Hưng Nguyên,18.671649,105.628817,minor,,Nghệ An
Thạnh Phú,9.948266,106.516292,minor,,Bến Tre
Tiên Phước,15.488195,108.307364,minor,,Quảng Nam
Thị Trấn Vĩnh Tuy,22.274411,104.890906,minor,,Hà Giang
Mỹ Lộc,20.441111,106.102378,minor,,Nam Định
Nho Quan,20.322787,105.751892,minor,,Ninh Bình
Yên Lập,21.34705,105.057393,minor,,Phú Thọ
Thị Trấn Gành Hào,9.031832,105.421146,minor,,Bạc Liêu
An Châu,21.334646,106.849344,minor,,Bắc Giang
Nhà Bè,10.696718,106.740321,minor,,Hồ Chí Minh
Cầu Giấy,21.032277,105.800734,minor,,Hà Nội
Minh Lương,9.902484,105.159502,minor,,Kiến Giang
Lang Chánh,20.156107,105.242233,minor,,Thanh Hóa
Mai Châu,20.661455,105.082366,minor,,Hòa Bình
Lương Bằng,20.740032,106.059984,minor,,Hưng Yên
Si Ma Cai,22.695096,104.278573,minor,,Lào Cai
Kiến Giang,17.223275,106.790111,minor,,Quảng Bình
Tân Châu,10.798321,105.238875,minor,,An Giang
Thạnh Mỹ,11.761653,108.494732,minor,,Lâm Đồng
Thị Trấn Phú Mỹ,10.603599,107.053996,minor,,Bà Rịa-Vũng Tàu
Thị Trấn Tam Sơn,23.067402,104.98926,minor,,Hà Giang
Vĩnh Bình,10.34498,106.580558,minor,,Tiền Giang
Mường Ảng,21.519928,103.222945,minor,,Điện Biên
Sông Cầu,13.455595,109.223478,minor,,Phú Yên
Đưc Trọng,11.735592,108.373303,minor,,Lâm Đồng
Bến Sung,19.631414,105.578154,minor,,Thanh Hóa
Đu,21.738473,105.703883,minor,,Thái Nguyên
Thị Trấn Ngải Giao,10.647101,107.245766,minor,,Bà Rịa-Vũng Tàu
Chợ Lầu,11.221584,108.507071,minor,,Bình Thuận
Ma Lâm,11.072972,108.129973,minor,,Bình Thuận
Mộc Châu,20.851994,104.621773,minor,,Sơn La
Thanh Hà,20.898162,106.426124,minor,,Hải Dương
Quán Lào,19.971534,105.651056,minor,,Thanh Hóa
Ea Kar,12.808161,108.449006,minor,,Đắk Lắk
Dầu Tiếng,11.274102,106.358793,minor,,Bình Dương
Thị Trấn Nước Hai,22.737383,106.152165,minor,,Cao Bằng
Văn Điển,20.946301,105.844998,minor,,Hà Nội
Vân Đình,20.735142,105.772357,minor,,Hà Nội
Thanh Chương,18.778767,105.33356,minor,,Nghệ An
Tràm Chim,10.670013,105.564687,minor,,Đồng Tháp
Tân Hòa,10.319057,106.711278,minor,,Tiền Giang
Cẩm Thủy,20.208661,105.469498,minor,,Thanh Hóa
Long Hồ,10.192812,106.012294,minor,,Vĩnh Long
Sa Pa,22.339578,103.845615,minor,,Lào Cai
Tân Kỳ,19.047558,105.268069,minor,,Nghệ An
Hạ Hòa,21.563015,105.005118,minor,,Phú Thọ
Sa Rài,10.870164,105.465832,minor,,Đồng Tháp
Thị Trấn Đông Khê,22.42939,106.431941,minor,,Cao Bằng
Thị Trấn Trùng Khánh,22.835136,106.524961,minor,,Cao Bằng
Hòa Thành,11.28696,106.129357,minor,,Tây Ninh
Củng Sơn,13.049985,108.978946,minor,,Phú Yên
Duy Xuyên,15.828983,108.259556,minor,,Quảng Nam
Hà Lam,15.738707,108.350623,minor,,Quảng Nam
Thanh Nê,20.388098,106.438336,minor,,Thái Bình
Thanh Xuân,20.994725,105.799768,minor,,Hà Nội
Hòa Vang,15.987636,108.138927,minor,,Đà Nẵng
Hoài Ân,14.363517,108.964763,minor,,Bình Định
Phú Phong,13.909637,108.919026,minor,,Bình Định
Thị Trấn Hòa Bình,9.28471,105.629162,minor,,Bạc Liêu
Long Mỹ,9.681412,105.572262,minor,,Hậu Giang
Hòn Đất,10.184617,104.929594,minor,,Kiến Giang
Thị Trấn Vị Xuyên,22.667621,104.981907,minor,,Hà Giang
Thị Trấn Việt Lâm,22.624859,104.959882,minor,,Hà Giang
Sơn Thịnh,21.56252,104.594798,minor,,Yên Bái
Tư Nghĩa,15.084514,108.825996,minor,,Quảng Ngãi
Phù Yên,21.263308,104.644389,minor,,Sơn La
Quảng Yên,20.942096,106.802698,minor,,Quảng Ninh
Con Cuông,19.049958,104.881238,minor,,Nghệ An
Thọ Xuân,19.931333,105.52179,minor,,Thanh Hóa
Đồng Nai,11.579808,107.365179,minor,,Lâm Đồng
Sông Mã,21.050913,103.749872,minor,,Sơn La
Thường Tín,20.868735,105.861248,minor,,Hà Nội
Kinh Môn,20.989621,106.555097,minor,,Hải Dương
Tiểu Cần,9.811663,106.190672,minor,,Trà Vinh
Quận Bảy,10.711804,106.736426,minor,,Hồ Chí Minh
Vĩnh An,11.089007,107.03516,minor,,Đồng Nai
Cao Phong,20.704457,105.32063,minor,,Hòa Bình
Đắk Mil,12.449568,107.622371,minor,,Đắk Nông
Cẩm Lệ,16.017714,108.203809,minor,,Đà Nẵng
Phong Châu,21.406797,105.31228,minor,,Phú Thọ
Lý Sơn,15.371978,109.118912,minor,,Quảng Ngãi
Thạnh Hóa,10.657445,106.180812,minor,,Long An
A Yun Pa,13.400252,108.435035,minor,,Gia Lai
Hương Canh,21.278823,105.646968,minor,,Vĩnh Phúc
Đồi Ngô,21.306263,106.386734,minor,,Bắc Giang
Long Khánh,10.926549,107.247827,minor,,Đồng Nai
Vĩnh Bảo,20.690762,106.480613,minor,,Hải Phòng
Sa Đéc,10.290852,105.756347,minor,,Đồng Tháp
Vương,20.701099,106.117515,minor,,Hưng Yên
Thị Trấn Sìn Hồ,22.366473,103.234381,minor,,Lai Châu
Hai Riêng,12.979081,108.897321,minor,,Phú Yên
Đông Hưng,20.556507,106.355323,minor,,Thái Bình
Mỹ Phước,10.477114,106.19256,minor,,Tiền Giang
Thắng,21.355054,105.983437,minor,,Bắc Giang
Trôi,21.069533,105.706464,minor,,Hà Nội
Mường Lát,20.529153,104.601385,minor,,Thanh Hóa
Điện Biên Phủ,21.385371,103.016052,admin,,Điện Biên
Diễn Châu,18.976519,105.600339,minor,,Nghệ An
Điện Bàn,15.888532,108.254471,minor,,Quảng Nam
Ngũ Hành Sơn,16.016178,108.253355,minor,,Đà Nẵng
Thị Trấn Giá Rai,9.237887,105.455237,minor,,Bạc Liêu
Hương Khê,18.176688,105.70019,minor,,Hà Tĩnh
Hoàn Kiếm,21.028573,105.850644,minor,,Hà Nội
Hai BàTrưng,21.013415,105.847723,minor,,Hà Nội
U Minh,9.412863,104.973532,minor,,Cà Mau
Thị Trấn Tủa Chùa,21.857713,103.342596,minor,,Điện Biên
Thị Trấn Tuần Giáo,21.58992,103.421787,minor,,Điện Biên
Hoàn Lão,17.584359,106.534247,minor,,Quảng Bình
Lâm Thao,21.3201,105.291555,minor,,Phú Thọ
Chi Nê,20.490555,105.778005,minor,,Hòa Bình
Tân Uyên,11.060853,106.798976,minor,,Bình Dương
Yên Ninh,20.183962,106.061211,minor,,Ninh Bình
Cái Tàu Hạ,10.259731,105.870438,minor,,Đồng Tháp
Kỳ Anh,18.062434,106.298319,minor,,Hà Tĩnh
Bồng Sơn,14.42907,109.015596,minor,,Bình Định
Đắk Song,12.255176,107.609239,minor,,Đắk Nông
Ngọc Hiển,8.657243,105.060207,minor,,Cà Mau
Thị Trấn Cao Lộc,21.8665,106.768327,minor,,Lạng Sơn
Núi Thành,15.431942,108.659463,minor,,Quảng Nam
Kon Plông,14.600636,108.290883,minor,,Kon Tum
Bình Thủy,10.074312,105.739739,minor,,Cần Thơ
Đoan Hùng,21.622539,105.184621,minor,,Phú Thọ
Bình Mỹ,20.491213,106.009549,minor,,Hà Nam
Ngã Sáu,9.923029,105.805421,minor,,Hậu Giang
Hà Tiên,10.3831,104.487534,minor,,Kiến Giang
Hòa Bình,19.263933,104.472318,minor,,Nghệ An
Ninh Hòa,12.491869,109.124955,minor,,Khánh Hòa
Ninh Giang,20.730831,106.397892,minor,,Hải Dương
Phố Châu,18.513347,105.424111,minor,,Hà Tĩnh
Phú Túc,13.196822,108.690425,minor,,Gia Lai
Củ Chi,10.973333,106.493247,minor,,Hồ Chí Minh
Nghĩa Hành,15.045684,108.777244,minor,,Quảng Ngãi
Quận Hai,10.791558,106.749475,minor,,Hồ Chí Minh
Cành Nàng,20.348033,105.228811,minor,,Thanh Hóa
Lộc Thắng,11.628362,107.835081,minor,,Lâm Đồng
Núi Đối,20.750778,106.668935,minor,,Hải Phòng
Thị Trấn Tân Yên,22.0655,105.034501,minor,,Tuyên Quang
Lai Châu,22.396437,103.458239,admin,,Lai Châu
Vĩnh Thuận,9.508016,105.257467,minor,,Kiến Giang
Vĩnh Tường,21.216497,105.512494,minor,,Vĩnh Phúc
Chúc Sơn,20.923745,105.701548,minor,,Hà Nội
Thị Trấn Phố Lu,22.319177,104.187186,minor,,Lào Cai
Yên Phú,22.732229,105.371455,minor,,Hà Giang
Thanh Bình,10.561903,105.484114,minor,,Đồng Tháp
Hóc Môn,10.889101,106.595326,minor,,Hồ Chí Minh
Phú Mỹ,10.592364,105.355732,minor,,An Giang
Quan Hóa,20.384813,105.100237,minor,,Thanh Hóa
Ân Thi,20.818351,106.091181,minor,,Hưng Yên
Gôi,20.333352,106.078261,minor,,Nam Định
Thị Trấn Đồng Văn,23.278408,105.362909,minor,,Hà Giang
Thị Trấn Vinh Quang,22.740846,104.679562,minor,,Hà Giang
Yên Bình,22.409891,104.579492,minor,,Hà Giang
Krông Kmar,12.504501,108.332877,minor,,Đắk Lắk
Quỳ Châu,19.552057,105.093866,minor,,Nghệ An
Quy Đạt,17.804592,105.970436,minor,,Quảng Bình
Tây Trà,15.169483,108.359978,minor,,Quảng Ngãi
Chợ Rã,22.451119,105.719075,minor,,Bắc Kạn
Bằng Lũng,22.157767,105.595591,minor,,Bắc Kạn
Phù Mỹ,14.171821,109.048877,minor,,Bình Định
Chợ Gạo,10.349835,106.463399,minor,,Tiền Giang
Than Uyên,21.959073,103.880012,minor,,Lai Châu
